t1	e11	e21	t2	e12	e22
0	0	0	0	0	0
0.1	0	4.99E-06	0.01	0	5.00E-08
0.2	1.00E-05	1.89E-05	0.02	1.00E-07	1.99E-07
0.3	2.90E-05	4.08E-05	0.03	2.99E-07	4.46E-07
0.4	5.60E-05	6.98E-05	0.04	5.96E-07	7.90E-07
0.5	9.00E-05	0.000104756	0.05	9.90E-07	1.23E-06
0.6	0.000130059	0.000144905	0.06	1.48E-06	1.76E-06
0.7	0.000175203	0.000189342	0.07	2.07E-06	2.39E-06
0.8	0.000224532	0.000237238	0.08	2.74E-06	3.12E-06
0.9	0.000277176	0.000287813	0.09	3.52E-06	3.93E-06
1	0.00033231	0.000340331	0.1	4.38E-06	4.83E-06
1.1	0.00038916	0.00039411	0.11	5.34E-06	5.83E-06
1.2	0.000447001	0.000448521	0.12	6.38E-06	6.91E-06
1.3	0.000505166	0.000502989	0.13	7.51E-06	8.09E-06
1.4	0.000563045	0.000556991	0.14	8.74E-06	9.34E-06
1.5	0.000620084	0.000610061	0.15	1.00E-05	1.07E-05
1.6	0.000675789	0.000661783	0.16	1.14E-05	1.21E-05
1.7	0.000729723	0.000711796	0.17	1.29E-05	1.36E-05
1.8	0.000781505	0.000759788	0.18	1.45E-05	1.52E-05
1.9	0.000830812	0.000805497	0.19	1.61E-05	1.69E-05
2	0.000877373	0.000848706	0.2	1.79E-05	1.87E-05
2.1	0.00092097	0.000889244	0.21	1.97E-05	2.05E-05
2.2	0.000961434	0.000926979	0.22	2.16E-05	2.24E-05
2.3	0.000998641	0.000961821	0.23	2.35E-05	2.44E-05
2.4	0.001032513	0.000993715	0.24	2.56E-05	2.65E-05
2.5	0.001063012	0.001022637	0.25	2.77E-05	2.87E-05
2.6	0.001090136	0.001048597	0.26	2.99E-05	3.09E-05
2.7	0.001113917	0.00107163	0.27	3.22E-05	3.32E-05
2.8	0.001134419	0.001091796	0.28	3.45E-05	3.56E-05
2.9	0.001151731	0.001109176	0.29	3.70E-05	3.80E-05
3	0.001165968	0.00112387	0.3	3.95E-05	4.05E-05
3.1	0.001177264	0.001135994	0.31	4.20E-05	4.31E-05
3.2	0.001185771	0.001145678	0.32	4.47E-05	4.58E-05
3.3	0.001191654	0.001153061	0.33	4.74E-05	4.85E-05
3.4	0.001195091	0.001158292	0.34	5.01E-05	5.13E-05
3.5	0.001196269	0.001161526	0.35	5.30E-05	5.41E-05
3.6	0.001195377	0.001162922	0.36	5.59E-05	5.71E-05
3.7	0.001192612	0.001162641	0.37	5.89E-05	6.01E-05
3.8	0.00118817	0.001160846	0.38	6.19E-05	6.31E-05
3.9	0.001182245	0.001157697	0.39	6.50E-05	6.62E-05
4	0.001175032	0.001153353	0.4	6.82E-05	6.94E-05
4.1	0.001166717	0.001147969	0.41	7.14E-05	7.27E-05
4.2	0.001157484	0.001141694	0.42	7.47E-05	7.60E-05
4.3	0.001147506	0.001134672	0.43	7.80E-05	7.93E-05
4.4	0.001136952	0.001127042	0.44	8.15E-05	8.27E-05
4.5	0.001125978	0.001118932	0.45	8.49E-05	8.62E-05
4.6	0.001114732	0.001110466	0.46	8.84E-05	8.97E-05
4.7	0.00110335	0.001101757	0.47	9.20E-05	9.33E-05
4.8	0.00109196	0.001092912	0.48	9.57E-05	9.70E-05
4.9	0.001080675	0.001084027	0.49	9.94E-05	0.000100661
5	0.001069599	0.001075189	0.5	0.000103096	0.000104409
5.1	0.001058824	0.001066479	0.51	0.000106892	0.000108208
5.2	0.00104843	0.001057966	0.52	0.00011074	0.000112058
5.3	0.001038488	0.001049713	0.53	0.000114638	0.000115958
5.4	0.001029055	0.001041773	0.54	0.000118587	0.000119907
5.5	0.001020181	0.001034191	0.55	0.000122584	0.000123905
5.6	0.001011903	0.001027006	0.56	0.00012663	0.00012795
5.7	0.001004252	0.001020248	0.57	0.000130723	0.000132042
5.8	0.000997247	0.001013939	0.58	0.000134862	0.000136179
5.9	0.000990899	0.001008099	0.59	0.000139047	0.000140361
6	0.000985214	0.001002736	0.6	0.000143276	0.000144586
6.1	0.000980189	0.000997857	0.61	0.00014755	0.000148855
6.2	0.000975814	0.000993461	0.62	0.000151866	0.000153167
6.3	0.000972074	0.000989546	0.63	0.000156224	0.000157519
6.4	0.000968951	0.000986101	0.64	0.000160624	0.000161912
6.5	0.000966419	0.000983116	0.65	0.000165064	0.000166345
6.6	0.00096445	0.000980574	0.66	0.000169543	0.000170816
6.7	0.000963014	0.000978457	0.67	0.000174062	0.000175326
6.8	0.000962078	0.000976746	0.68	0.000178618	0.000179872
6.9	0.000961605	0.000975418	0.69	0.000183211	0.000184456
7	0.000961558	0.000974449	0.7	0.00018784	0.000189074
7.1	0.0009619	0.000973814	0.71	0.000192505	0.000193728
7.2	0.000962592	0.000973488	0.72	0.000197204	0.000198415
7.3	0.000963596	0.000973444	0.73	0.000201937	0.000203135
7.4	0.000964874	0.000973656	0.74	0.000206703	0.000207888
7.5	0.000966388	0.000974097	0.75	0.000211501	0.000212672
7.6	0.000968102	0.000974742	0.76	0.000216331	0.000217487
7.7	0.00096998	0.000975565	0.77	0.000221191	0.000222332
7.8	0.00097199	0.000976541	0.78	0.00022608	0.000227206
7.9	0.000974099	0.000977647	0.79	0.000230999	0.000232109
8	0.000976277	0.000978859	0.8	0.000235946	0.000237039
8.1	0.000978496	0.000980157	0.81	0.000240921	0.000241996
8.2	0.000980731	0.000981519	0.82	0.000245922	0.000246979
8.3	0.000982957	0.000982927	0.83	0.000250949	0.000251987
8.4	0.000985154	0.000984364	0.84	0.000256001	0.00025702
8.5	0.000987301	0.000985811	0.85	0.000261077	0.000262077
8.6	0.000989381	0.000987256	0.86	0.000266177	0.000267157
8.7	0.000991381	0.000988684	0.87	0.0002713	0.000272259
8.8	0.000993287	0.000990084	0.88	0.000276446	0.000277383
8.9	0.000995089	0.000991445	0.89	0.000281612	0.000282528
9	0.000996777	0.000992757	0.9	0.000286799	0.000287693
9.1	0.000998346	0.000994014	0.91	0.000292007	0.000292878
9.2	0.00099979	0.000995208	0.92	0.000297233	0.000298081
9.3	0.001001106	0.000996333	0.93	0.000302478	0.000303302
9.4	0.001002293	0.000997387	0.94	0.000307741	0.000308541
9.5	0.00100335	0.000998365	0.95	0.000313021	0.000313797
9.6	0.001004278	0.000999266	0.96	0.000318317	0.000319068
9.7	0.00100508	0.001000088	0.97	0.000323629	0.000324355
9.8	0.001005759	0.001000831	0.98	0.000328957	0.000329656
9.9	0.00100632	0.001001496	0.99	0.000334298	0.000334971
10	0.001006766	0.001002083	1	0.000339653	0.0003403
10	0.001006766	0.001002083	1.01	0.000345022	0.000345641
10	0.001006766	0.001002083	1.02	0.000350402	0.000350994
10	0.001006766	0.001002083	1.03	0.000355795	0.000356359
10	0.001006766	0.001002083	1.04	0.000361198	0.000361734
10	0.001006766	0.001002083	1.05	0.000366612	0.000367119
10	0.001006766	0.001002083	1.06	0.000372035	0.000372513
10	0.001006766	0.001002083	1.07	0.000377468	0.000377917
10	0.001006766	0.001002083	1.08	0.000382909	0.000383328
10	0.001006766	0.001002083	1.09	0.000388358	0.000388747
10	0.001006766	0.001002083	1.1	0.000393814	0.000394173
10	0.001006766	0.001002083	1.11	0.000399276	0.000399605
10	0.001006766	0.001002083	1.12	0.000404745	0.000405043
10	0.001006766	0.001002083	1.13	0.000410219	0.000410486
10	0.001006766	0.001002083	1.14	0.000415698	0.000415933
10	0.001006766	0.001002083	1.15	0.000421181	0.000421384
10	0.001006766	0.001002083	1.16	0.000426668	0.000426839
10	0.001006766	0.001002083	1.17	0.000432157	0.000432297
10	0.001006766	0.001002083	1.18	0.000437649	0.000437756
10	0.001006766	0.001002083	1.19	0.000443143	0.000443217
10	0.001006766	0.001002083	1.2	0.000448639	0.00044868
10	0.001006766	0.001002083	1.21	0.000454135	0.000454142
10	0.001006766	0.001002083	1.22	0.000459631	0.000459605
10	0.001006766	0.001002083	1.23	0.000465127	0.000465067
10	0.001006766	0.001002083	1.24	0.000470622	0.000470528
10	0.001006766	0.001002083	1.25	0.000476115	0.000475988
10	0.001006766	0.001002083	1.26	0.000481606	0.000481445
10	0.001006766	0.001002083	1.27	0.000487095	0.000486899
10	0.001006766	0.001002083	1.28	0.000492581	0.00049235
10	0.001006766	0.001002083	1.29	0.000498063	0.000497798
10	0.001006766	0.001002083	1.3	0.000503542	0.000503241
10	0.001006766	0.001002083	1.31	0.000509015	0.00050868
10	0.001006766	0.001002083	1.32	0.000514484	0.000514113
10	0.001006766	0.001002083	1.33	0.000519947	0.000519541
10	0.001006766	0.001002083	1.34	0.000525404	0.000524962
10	0.001006766	0.001002083	1.35	0.000530854	0.000530377
10	0.001006766	0.001002083	1.36	0.000536297	0.000535784
10	0.001006766	0.001002083	1.37	0.000541733	0.000541184
10	0.001006766	0.001002083	1.38	0.000547161	0.000546576
10	0.001006766	0.001002083	1.39	0.00055258	0.00055196
10	0.001006766	0.001002083	1.4	0.00055799	0.000557334
10	0.001006766	0.001002083	1.41	0.000563391	0.000562699
10	0.001006766	0.001002083	1.42	0.000568782	0.000568054
10	0.001006766	0.001002083	1.43	0.000574163	0.000573399
10	0.001006766	0.001002083	1.44	0.000579534	0.000578733
10	0.001006766	0.001002083	1.45	0.000584893	0.000584056
10	0.001006766	0.001002083	1.46	0.00059024	0.000589367
10	0.001006766	0.001002083	1.47	0.000595576	0.000594666
10	0.001006766	0.001002083	1.48	0.000600899	0.000599953
10	0.001006766	0.001002083	1.49	0.00060621	0.000605227
10	0.001006766	0.001002083	1.5	0.000611507	0.000610488
10	0.001006766	0.001002083	1.51	0.000616791	0.000615735
10	0.001006766	0.001002083	1.52	0.00062206	0.000620969
10	0.001006766	0.001002083	1.53	0.000627316	0.000626188
10	0.001006766	0.001002083	1.54	0.000632556	0.000631392
10	0.001006766	0.001002083	1.55	0.000637782	0.000636581
10	0.001006766	0.001002083	1.56	0.000642992	0.000641755
10	0.001006766	0.001002083	1.57	0.000648186	0.000646913
